label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 14:00:00","11.44"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 15:00:00","12.72"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 16:00:00","15.54"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 17:00:00","20.7"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 18:00:00","18.99"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 19:00:00","13.66"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 20:00:00","12.26"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 21:00:00","9.72"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 22:00:00","8.86"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 23:00:00","5.73"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 00:00:00","2.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 01:00:00","2.21"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 02:00:00","2.6"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 03:00:00","2.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 04:00:00","3.06"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 05:00:00","4.17"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 06:00:00","7.12"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 07:00:00","10.48"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 08:00:00","11.24"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 09:00:00","10.79"
"Zone J - NEW YORK CITY (DA)","price","2020-11-10 10:00:00","11.14"
