"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PACASUS","201201","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201202","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201203","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201204","7.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201205","8.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201206","8.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201207","11.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201208","9.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201209","8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201210","6.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201211","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201212","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201213","7.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201301","5.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201302","5.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201303","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201304","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201305","7.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201306","8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201307","9.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201308","7.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201309","7.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201310","6.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201311","4.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201312","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
